Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
109th (2005–2007),Republicans,Republicans,Republican (G.W. Bush),Unified,2005,2007,2006,Republican
109th (2005–2007),Republicans,Republicans,Republican (G.W. Bush),Unified,2005,2007,2007,Republican
110th (2007–2009),Democrats,Democrats13,Republican (G.W. Bush),Divided,2007,2009,2007,Republican
110th (2007–2009),Democrats,Democrats13,Republican (G.W. Bush),Divided,2007,2009,2008,Republican
110th (2007–2009),Democrats,Democrats13,Republican (G.W. Bush),Divided,2007,2009,2009,Republican
111th (2009–2011),Democrats,Democrats,Democrat (Obama),Unified,2009,2011,2009,Democrat
111th (2009–2011),Democrats,Democrats,Democrat (Obama),Unified,2009,2011,2010,Democrat
111th (2009–2011),Democrats,Democrats,Democrat (Obama),Unified,2009,2011,2011,Democrat
112th (2011–2013),Republicans,Democrats,Democrat (Obama),Divided,2011,2013,2011,Democrat
112th (2011–2013),Republicans,Democrats,Democrat (Obama),Divided,2011,2013,2012,Democrat
112th (2011–2013),Republicans,Democrats,Democrat (Obama),Divided,2011,2013,2013,Democrat
113th (2013–2015),Republicans,Democrats,Democrat (Obama),Divided,2013,2015,2013,Democrat
113th (2013–2015),Republicans,Democrats,Democrat (Obama),Divided,2013,2015,2014,Democrat
113th (2013–2015),Republicans,Democrats,Democrat (Obama),Divided,2013,2015,2015,Democrat
114th (2015–2017),Republicans,Republicans,Democrat (Obama),Divided,2015,2017,2015,Democrat
114th (2015–2017),Republicans,Republicans,Democrat (Obama),Divided,2015,2017,2016,Democrat
114th (2015–2017),Republicans,Republicans,Democrat (Obama),Divided,2015,2017,2017,Democrat
115th (2017–2019),Republicans,Republicans,Republican (Trump),Unified,2017,2019,2017,Republican
115th (2017–2019),Republicans,Republicans,Republican (Trump),Unified,2017,2019,2018,Republican
115th (2017–2019),Republicans,Republicans,Republican (Trump),Unified,2017,2019,2019,Republican
116th (2019–2021),Democrats,Republicans,Republican (Trump),Divided,2019,2021,2019,Republican
116th (2019–2021),Democrats,Republicans,Republican (Trump),Divided,2019,2021,2020,Republican
116th (2019–2021),Democrats,Republicans,Republican (Trump),Divided,2019,2021,2021,Republican
117th (2021–2023),Democrats,Democrats14,Democrat (Biden),Unified,2021,2023,2021,Democrat
117th (2021–2023),Democrats,Democrats14,Democrat (Biden),Unified,2021,2023,2022,Democrat
117th (2021–2023),Democrats,Democrats14,Democrat (Biden),Unified,2021,2023,2023,Democrat
118th (2023–2025),Republicans,Democrats,Democrat (Biden),Divided,2023,2025,2023,Democrat
118th (2023–2025),Republicans,Democrats,Democrat (Biden),Divided,2023,2025,2024,Democrat
118th (2023–2025),Republicans,Democrats,Democrat (Biden),Divided,2023,2025,2025,Democrat
